Id,Label,modularity_class,degree
1620,1620,12,1
1621,1621,21,1
1622,1622,10,1
1623,1623,3,1
1624,1624,17,12
1625,1625,12,3
1626,1626,16,2
1629,1629,13,1
1634,1634,11,3
1635,1635,20,4
1636,1636,17,1
1637,1637,14,1
1638,1638,5,1
1639,1639,2,1
1640,1640,25,1
1641,1641,10,2
1642,1642,12,3
1643,1643,5,2
1644,1644,0,2
1646,1646,2,2
1651,1651,11,1
1653,1653,25,1
1654,1654,19,2
1655,1655,8,2
1658,1658,20,2
1660,1660,24,1
1661,1661,0,1
1662,1662,17,1
1663,1663,12,18
1664,1664,10,1
1666,1666,21,10
1667,1667,13,5
1668,1668,22,3
1669,1669,2,1
1670,1670,7,3
1671,1671,4,1
1672,1672,23,23
1673,1673,6,1
1674,1674,11,10
1675,1675,12,3
1676,1676,2,6
1679,1679,14,8
1680,1680,0,2
1681,1681,24,2
1683,1683,20,1
1684,1684,7,2
1691,1691,21,3
1694,1694,3,1
1697,1697,15,1
1698,1698,20,1
1699,1699,24,2
1700,1700,3,1
1701,1701,1,1
1702,1702,7,1
1703,1703,5,1
1704,1704,9,1
1706,1706,2,18
1707,1707,5,1
1708,1708,4,2
1709,1709,9,2
1710,1710,7,7
1711,1711,15,2
1712,1712,20,1
1713,1713,5,1
1716,1716,13,2
1717,1717,20,1
1718,1718,3,1
1719,1719,14,1
1720,1720,2,1
1721,1721,19,1
1722,1722,18,18
1725,1725,10,1
1726,1726,15,2
1728,1728,6,2
1732,1732,0,3
1733,1733,0,1
1734,1734,11,2
1735,1735,0,2
1736,1736,11,1
1737,1737,10,2
1738,1738,10,2
1739,1739,22,4
1740,1740,10,1
1741,1741,24,3
1742,1742,12,1
1743,1743,7,1
1744,1744,1,2
1746,1746,20,1
1747,1747,1,1
1748,1748,9,1
1749,1749,15,1
1751,1751,3,1
1752,1752,18,1
1753,1753,7,3
1754,1754,20,13
1755,1755,8,1
1757,1757,5,4
1758,1758,25,2
1759,1759,11,1
1760,1760,2,1
1761,1761,19,1
1762,1762,20,3
1765,1765,10,5
